index,singlish,english
5008,This type of flower very hard to grow.,This type of flower is very hard to grow.
5009,Your garden got so many butterflies!,Your garden has so many butterflies!
5010,Better put some fertilizer.,It's better to put some fertilizer.
5011,"Wah, your tomatoes so big!","Wow, your tomatoes are so big!"
5012,How you keep the pests away ah?,How do you keep the pests away?
5013,This plant need a lot of water.,This plant needs a lot of water.
5014,I like to grow herbs in my garden.,I like to grow herbs in my garden.
5015,Your garden got so many colors!,Your garden has so many colors!
5016,"Don't step on the flowers, okay?","Don't step on the flowers, okay?"
5017,This plant very easy to take care.,This plant is very easy to take care of.
5018,You use organic fertilizer or not?,Do you use organic fertilizer?
5019,I think your plant got too much water.,I think your plant has too much water.
5020,"Wah, your garden got so many bees!","Wow, your garden has so many bees!"
5021,This flower only bloom in the morning.,This flower only blooms in the morning.
5022,You need to trim the leaves a bit.,You need to trim the leaves a bit.
5023,Your garden very well-maintained ah.,Your garden is very well-maintained.
5024,I like to plant roses in my garden.,I like to plant roses in my garden.
5025,This plant need a lot of sunlight.,This plant needs a lot of sunlight.
5026,Your garden got so many different plants!,Your garden has so many different plants!
5027,Better use some mulch to keep the soil moist.,It's better to use some mulch to keep the soil moist.
5028,"Wah, your garden got so many birds!","Wow, your garden has so many birds!"
5029,This plant very sensitive to cold.,This plant is very sensitive to cold.
5030,You need to water the plants in the morning.,You need to water the plants in the morning.
5031,Your garden got so many fruits!,Your garden has so many fruits!
5032,Better use some compost for the soil.,It's better to use some compost for the soil.
5033,"Wah, your garden got so many flowers!","Wow, your garden has so many flowers!"
5034,This plant need a lot of care.,This plant needs a lot of care.
5035,You need to water the plants regularly.,You need to water the plants regularly.
5036,Your garden got so many vegetables!,Your garden has so many vegetables!
5037,Better use some pesticide to keep the bugs away.,It's better to use some pesticide to keep the bugs away.
5038,"Wah, your garden got so many herbs!","Wow, your garden has so many herbs!"
5039,This plant very easy to grow.,This plant is very easy to grow.
5040,You need to water the plants in the evening.,You need to water the plants in the evening.
5041,Your garden got so many different flowers!,Your garden has so many different flowers!
5042,Better use some organic fertilizer.,It's better to use some organic fertilizer.
5043,"Wah, your garden got so many colors!","Wow, your garden has so many colors!"
5044,This plant need a lot of nutrients.,This plant needs a lot of nutrients.
5045,You need to water the plants twice a day.,You need to water the plants twice a day.
5046,Your garden got so many different herbs!,Your garden has so many different herbs!
5047,Better use some mulch to keep the weeds away.,It's better to use some mulch to keep the weeds away.
5048,"Wah, your garden got so many butterflies!","Wow, your garden has so many butterflies!"
5049,This plant very sensitive to heat.,This plant is very sensitive to heat.
5050,You need to water the plants in the afternoon.,You need to water the plants in the afternoon.
5051,Your garden got so many different vegetables!,Your garden has so many different vegetables!
5052,Better use some compost for the plants.,It's better to use some compost for the plants.
5053,"Wah, your garden got so many birds!","Wow, your garden has so many birds!"
5054,This plant need a lot of water and sunlight.,This plant needs a lot of water and sunlight.
5055,You need to water the plants every morning.,You need to water the plants every morning.
5056,Your garden got so many different fruits!,Your garden has so many different fruits!
5057,Better use some pesticide to protect the plants.,It's better to use some pesticide to protect the plants.
5058,"Wah, your garden got so many herbs!","Wow, your garden has so many herbs!"
5059,This plant very easy to maintain.,This plant is very easy to maintain.
5060,You need to water the plants in the night.,You need to water the plants at night.
5061,Your garden got so many different flowers!,Your garden has so many different flowers!
5062,Better use some organic compost.,It's better to use some organic compost.
5063,"Wah, your garden got so many colors!","Wow, your garden has so many colors!"
5064,This plant need a lot of care and attention.,This plant needs a lot of care and attention.
5065,You need to water the plants twice daily.,You need to water the plants twice daily.
5066,Your garden got so many different herbs!,Your garden has so many different herbs!
5067,Better use some mulch to keep the soil healthy.,It's better to use some mulch to keep the soil healthy.
5068,"Wah, your garden got so many butterflies!","Wow, your garden has so many butterflies!"
5069,This plant very sensitive to sunlight.,This plant is very sensitive to sunlight.
5070,You need to water the plants in the early morning.,You need to water the plants in the early morning.
5071,Your garden got so many different vegetables!,Your garden has so many different vegetables!
5072,Better use some compost for the garden.,It's better to use some compost for the garden.
5073,"Wah, your garden got so many birds!","Wow, your garden has so many birds!"
5074,This plant need a lot of water and nutrients.,This plant needs a lot of water and nutrients.
5075,You need to water the plants every evening.,You need to water the plants every evening.
5076,Your garden got so many different fruits!,Your garden has so many different fruits!
5077,Better use some pesticide to keep the pests away.,It's better to use some pesticide to keep the pests away.
5078,"Wah, your garden got so many herbs!","Wow, your garden has so many herbs!"
5079,This plant very easy to grow and maintain.,This plant is very easy to grow and maintain.
5080,You need to water the plants at night.,You need to water the plants at night.
5081,Your garden got so many different flowers!,Your garden has so many different flowers!
5082,Better use some organic fertilizer for the plants.,It's better to use some organic fertilizer for the plants.
5083,"Wah, your garden got so many colors!","Wow, your garden has so many colors!"
5084,This plant need a lot of care and water.,This plant needs a lot of care and water.
5085,You need to water the plants twice a day.,You need to water the plants twice a day.
5086,Your garden got so many different herbs!,Your garden has so many different herbs!
5087,Better use some mulch to keep the soil moist.,It's better to use some mulch to keep the soil moist.
5088,"Wah, your garden got so many butterflies!","Wow, your garden has so many butterflies!"
5089,This plant very sensitive to cold weather.,This plant is very sensitive to cold weather.
5090,You need to water the plants in the morning.,You need to water the plants in the morning.
5091,Your garden got so many different vegetables!,Your garden has so many different vegetables!
5092,Better use some compost for the soil.,It's better to use some compost for the soil.
5093,"Wah, your garden got so many birds!","Wow, your garden has so many birds!"
5094,This plant need a lot of water and sunlight.,This plant needs a lot of water and sunlight.
5095,You need to water the plants every morning.,You need to water the plants every morning.
5096,Your garden got so many different fruits!,Your garden has so many different fruits!
5097,Better use some pesticide to protect the plants.,It's better to use some pesticide to protect the plants.
5098,"Wah, your garden got so many herbs!","Wow, your garden has so many herbs!"
5099,This plant very easy to maintain.,This plant is very easy to maintain.
5100,You need to water the plants in the night.,You need to water the plants at night.
5101,"Wah, that bird damn colourful sia.","Wow, that bird is very colourful."
5102,"Eh, you see that bird over there?","Hey, do you see that bird over there?"
5103,This park got a lot of birds leh.,This park has a lot of birds.
5104,I think that one is a kingfisher.,I think that one is a kingfisher.
5105,"Birdwatching very shiok, right?","Birdwatching is very enjoyable, right?"
5106,You bring binoculars or not?,Did you bring binoculars?
5107,That bird's song very nice to hear.,That bird's song is very nice to hear.
5108,I saw a rare bird just now!,I saw a rare bird just now!
5109,This place good for birdwatching lah.,This place is good for birdwatching.
5110,You know what bird that is?,Do you know what bird that is?
5111,"The bird fly so fast, cannot see properly.","The bird flew so fast, I couldn't see it properly."
5112,I think that one is a hornbill.,I think that one is a hornbill.
5113,Got so many birds here today.,There are so many birds here today.
5114,You hear that bird call?,Did you hear that bird call?
5115,Birdwatching is my favourite hobby.,Birdwatching is my favourite hobby.
5116,That bird very hard to spot leh.,That bird is very hard to spot.
5117,I brought my camera to take photos.,I brought my camera to take photos.
5118,The weather today perfect for birdwatching.,The weather today is perfect for birdwatching.
5119,You want to go birdwatching tomorrow?,Do you want to go birdwatching tomorrow?
5120,That bird got very long tail.,That bird has a very long tail.
5121,I saw a woodpecker just now.,I saw a woodpecker just now.
5122,Birdwatching can be very relaxing.,Birdwatching can be very relaxing.
5123,"You need to be very quiet, okay?","You need to be very quiet, okay?"
5124,That bird's feathers very shiny.,That bird's feathers are very shiny.
5125,I think I saw an eagle.,I think I saw an eagle.
5126,This spot very good for birdwatching.,This spot is very good for birdwatching.
5127,You got any bird guidebook?,Do you have any bird guidebook?
5128,That bird very rare one.,That bird is very rare.
5129,I love the sound of birds chirping.,I love the sound of birds chirping.
5130,You see that bird nest up there?,Do you see that bird nest up there?
5131,Birdwatching is very peaceful.,Birdwatching is very peaceful.
5132,That bird got very bright colours.,That bird has very bright colours.
5133,I think that bird is a parrot.,I think that bird is a parrot.
5134,You want to join me for birdwatching?,Do you want to join me for birdwatching?
5135,That bird very cute leh.,That bird is very cute.
5136,I saw a bird with a red beak.,I saw a bird with a red beak.
5137,Birdwatching is a good way to relax.,Birdwatching is a good way to relax.
5138,You need patience for birdwatching.,You need patience for birdwatching.
5139,"That bird very small, hard to see.","That bird is very small, hard to see."
5140,I think I saw a heron.,I think I saw a heron.
5141,This place got many different birds.,This place has many different birds.
5142,You hear that bird singing?,Do you hear that bird singing?
5143,Birdwatching is very interesting.,Birdwatching is very interesting.
5144,That bird's wings very big.,That bird's wings are very big.
5145,I saw a bird with blue feathers.,I saw a bird with blue feathers.
5146,Birdwatching is a fun activity.,Birdwatching is a fun activity.
5147,You need to be quiet to see birds.,You need to be quiet to see birds.
5148,"That bird very fast, cannot catch.","That bird is very fast, can't catch it."
5149,I think that bird is a sparrow.,I think that bird is a sparrow.
5150,This place very good for birdwatching.,This place is very good for birdwatching.
5151,You got any birdwatching tips?,Do you have any birdwatching tips?
5152,"That bird very rare, must take photo.","That bird is very rare, must take a photo."
5153,I love listening to birds sing.,I love listening to birds sing.
5154,You see that bird nest?,Do you see that bird nest?
5155,Birdwatching is very calming.,Birdwatching is very calming.
5156,That bird got very nice colours.,That bird has very nice colours.
5157,I think that bird is a pigeon.,I think that bird is a pigeon.
5158,You want to go birdwatching later?,Do you want to go birdwatching later?
5159,That bird very pretty leh.,That bird is very pretty.
5160,I saw a bird with a yellow beak.,I saw a bird with a yellow beak.
5161,Birdwatching is a great way to unwind.,Birdwatching is a great way to unwind.
5162,You need to be patient for birdwatching.,You need to be patient for birdwatching.
5163,"That bird very tiny, hard to spot.","That bird is very tiny, hard to spot."
5164,I think I saw a stork.,I think I saw a stork.
5165,This place got many bird species.,This place has many bird species.
5166,You hear that bird chirping?,Do you hear that bird chirping?
5167,Birdwatching is very educational.,Birdwatching is very educational.
5168,That bird's wings very colourful.,That bird's wings are very colourful.
5169,I saw a bird with green feathers.,I saw a bird with green feathers.
5170,Birdwatching is a relaxing hobby.,Birdwatching is a relaxing hobby.
5171,You need to be still to see birds.,You need to be still to see birds.
5172,"That bird very fast, hard to follow.","That bird is very fast, hard to follow."
5173,I think that bird is a robin.,I think that bird is a robin.
5174,This place very popular for birdwatching.,This place is very popular for birdwatching.
5175,You got any birdwatching gear?,Do you have any birdwatching gear?
5176,"That bird very unique, must see.","That bird is very unique, must see it."
5177,I love watching birds fly.,I love watching birds fly.
5178,You see that bird nest up there?,Do you see that bird nest up there?
5179,Birdwatching is very soothing.,Birdwatching is very soothing.
5180,That bird got very bright feathers.,That bird has very bright feathers.
5181,I think that bird is a dove.,I think that bird is a dove.
5182,You want to go birdwatching this weekend?,Do you want to go birdwatching this weekend?
5183,That bird very beautiful leh.,That bird is very beautiful.
5184,I saw a bird with a black beak.,I saw a bird with a black beak.
5185,Birdwatching is a great way to relax.,Birdwatching is a great way to relax.
5186,You need to be patient for birdwatching.,You need to be patient for birdwatching.
5187,"That bird very small, hard to see.","That bird is very small, hard to see."
5188,I think I saw a crane.,I think I saw a crane.
5189,This place got many bird species.,This place has many bird species.
5190,You hear that bird chirping?,Do you hear that bird chirping?
5191,Birdwatching is very educational.,Birdwatching is very educational.
5192,That bird's wings very colourful.,That bird's wings are very colourful.
5193,I saw a bird with green feathers.,I saw a bird with green feathers.
5194,Birdwatching is a relaxing hobby.,Birdwatching is a relaxing hobby.
5195,You need to be still to see birds.,You need to be still to see birds.
5196,"That bird very fast, hard to follow.","That bird is very fast, hard to follow."
5197,I think that bird is a robin.,I think that bird is a robin.
5198,This place very popular for birdwatching.,This place is very popular for birdwatching.
5199,You got any birdwatching gear?,Do you have any birdwatching gear?
5200,"That bird very unique, must see.","That bird is very unique, must see it."
5201,"Wah, the stars tonight damn bright leh.","Wow, the stars are really bright tonight."
5202,"Eh, you see that one, so shiny!","Hey, look at that one, it's so shiny!"
5203,"Last night the sky so clear, can see so many stars.","Last night the sky was so clear, we could see so many stars."
5204,I think I saw a shooting star just now!,I think I just saw a shooting star!
5205,You bring telescope or not?,Did you bring a telescope?
5206,This place quite good for stargazing hor.,"This place is quite good for stargazing, right?"
5207,"Better come here early, later too crowded.","It's better to come here early, it might get too crowded later."
5208,"I love stargazing, so relaxing.","I love stargazing, it's so relaxing."
5209,Can you see Orion's Belt there?,Can you see Orion's Belt over there?
5210,"Tonight got meteor shower, sure very nice one.","There's a meteor shower tonight, it will definitely be nice."
5211,The Milky Way looks so beautiful tonight.,The Milky Way looks so beautiful tonight.
5212,I think I saw Jupiter just now.,I think I saw Jupiter just now.
5213,You know how to find the North Star?,Do you know how to find the North Star?
5214,"The sky so dark, perfect for stargazing.","The sky is so dark, it's perfect for stargazing."
5215,"I brought my star map, can help us identify the stars.","I brought my star map, it can help us identify the stars."
5216,Got any app to help us find constellations?,Is there any app to help us find constellations?
5217,I think that's the Big Dipper over there.,I think that's the Big Dipper over there.
5218,The stars look like diamonds in the sky.,The stars look like diamonds in the sky.
5219,I wish I could see this every night.,I wish I could see this every night.
5220,Stargazing makes me feel so small.,Stargazing makes me feel so small.
5221,You see that constellation? It's called Cassiopeia.,Do you see that constellation? It's called Cassiopeia.
5222,I think I saw a satellite moving across the sky.,I think I saw a satellite moving across the sky.
5223,"The sky so clear, can see everything.","The sky is so clear, you can see everything."
5224,"I brought some snacks, can munch while we stargaze.","I brought some snacks, we can munch while we stargaze."
5225,You know any good spots for stargazing?,Do you know any good spots for stargazing?
5226,I love how peaceful it is when stargazing.,I love how peaceful it is when stargazing.
5227,The stars are twinkling so brightly tonight.,The stars are twinkling so brightly tonight.
5228,I think I can see Mars tonight.,I think I can see Mars tonight.
5229,Stargazing is my favourite hobby.,Stargazing is my favourite hobby.
5230,You see that bright star? That's Sirius.,Do you see that bright star? That's Sirius.
5231,I feel so calm when I look at the stars.,I feel so calm when I look at the stars.
5232,"The sky is so clear, can see the whole galaxy.","The sky is so clear, you can see the whole galaxy."
5233,I think I saw a comet just now.,I think I saw a comet just now.
5234,Stargazing is the best way to relax.,Stargazing is the best way to relax.
5235,I love coming here to stargaze.,I love coming here to stargaze.
5236,"The stars are so bright, like diamonds.","The stars are so bright, like diamonds."
5237,I think I can see the Andromeda Galaxy.,I think I can see the Andromeda Galaxy.
5238,Stargazing makes me feel so peaceful.,Stargazing makes me feel so peaceful.
5239,"The sky is so dark, perfect for stargazing.","The sky is so dark, perfect for stargazing."
5240,"I brought my binoculars, can see the stars better.","I brought my binoculars, we can see the stars better."
5241,You see that star? It's called Betelgeuse.,Do you see that star? It's called Betelgeuse.
5242,I love how quiet it is when stargazing.,I love how quiet it is when stargazing.
5243,The stars are so beautiful tonight.,The stars are so beautiful tonight.
5244,I think I can see Venus tonight.,I think I can see Venus tonight.
5245,Stargazing is so relaxing.,Stargazing is so relaxing.
5246,You see that constellation? It's called Orion.,Do you see that constellation? It's called Orion.
5247,I think I saw a satellite just now.,I think I saw a satellite just now.
5248,"The sky is so clear, can see all the stars.","The sky is so clear, you can see all the stars."
5249,"I brought some drinks, can enjoy while we stargaze.","I brought some drinks, we can enjoy while we stargaze."
5250,You know any other good spots for stargazing?,Do you know any other good spots for stargazing?
5251,I love how calm it is when stargazing.,I love how calm it is when stargazing.
5252,The stars are shining so brightly tonight.,The stars are shining so brightly tonight.
5253,I think I can see Saturn tonight.,I think I can see Saturn tonight.
5254,Stargazing is my favourite thing to do.,Stargazing is my favourite thing to do.
5255,You see that bright star? That's Vega.,Do you see that bright star? That's Vega.
5256,I feel so relaxed when I look at the stars.,I feel so relaxed when I look at the stars.
5257,"The sky is so clear, can see the whole universe.","The sky is so clear, you can see the whole universe."
5258,I think I saw a meteor just now.,I think I saw a meteor just now.
5259,Stargazing is the best way to unwind.,Stargazing is the best way to unwind.
5260,I love coming here to look at the stars.,I love coming here to look at the stars.
5261,"The stars are so bright, like jewels.","The stars are so bright, like jewels."
5262,I think I can see the Pleiades.,I think I can see the Pleiades.
5263,Stargazing makes me feel so calm.,Stargazing makes me feel so calm.
5264,"The sky is so dark, perfect for looking at stars.","The sky is so dark, perfect for looking at stars."
5265,"I brought my camera, can take photos of the stars.","I brought my camera, we can take photos of the stars."
5266,You see that star? It's called Polaris.,Do you see that star? It's called Polaris.
5267,I love how quiet it is when looking at the stars.,I love how quiet it is when looking at the stars.
5268,The stars are so beautiful tonight.,The stars are so beautiful tonight.
5269,I think I can see Mercury tonight.,I think I can see Mercury tonight.
5270,Stargazing is so peaceful.,Stargazing is so peaceful.
5271,You see that constellation? It's called Ursa Major.,Do you see that constellation? It's called Ursa Major.
5272,I think I saw a satellite just now.,I think I saw a satellite just now.
5273,"The sky is so clear, can see all the stars.","The sky is so clear, you can see all the stars."
5274,"I brought some snacks, can enjoy while we stargaze.","I brought some snacks, we can enjoy while we stargaze."
5275,You know any other good spots for stargazing?,Do you know any other good spots for stargazing?
5276,I love how calm it is when stargazing.,I love how calm it is when stargazing.
5277,The stars are shining so brightly tonight.,The stars are shining so brightly tonight.
5278,I think I can see Neptune tonight.,I think I can see Neptune tonight.
5279,Stargazing is my favourite thing to do.,Stargazing is my favourite thing to do.
5280,You see that bright star? That's Altair.,Do you see that bright star? That's Altair.
5281,I feel so relaxed when I look at the stars.,I feel so relaxed when I look at the stars.
5282,"The sky is so clear, can see the whole universe.","The sky is so clear, you can see the whole universe."
5283,I think I saw a meteor just now.,I think I saw a meteor just now.
5284,Stargazing is the best way to unwind.,Stargazing is the best way to unwind.
5285,I love coming here to look at the stars.,I love coming here to look at the stars.
5286,"The stars are so bright, like jewels.","The stars are so bright, like jewels."
5287,I think I can see the Pleiades.,I think I can see the Pleiades.
5288,Stargazing makes me feel so calm.,Stargazing makes me feel so calm.
5289,"The sky is so dark, perfect for looking at stars.","The sky is so dark, perfect for looking at stars."
5290,"I brought my camera, can take photos of the stars.","I brought my camera, we can take photos of the stars."
5291,You see that star? It's called Polaris.,Do you see that star? It's called Polaris.
5292,I love how quiet it is when looking at the stars.,I love how quiet it is when looking at the stars.
5293,The stars are so beautiful tonight.,The stars are so beautiful tonight.
5294,I think I can see Mercury tonight.,I think I can see Mercury tonight.
5295,Stargazing is so peaceful.,Stargazing is so peaceful.
5296,You see that constellation? It's called Ursa Major.,Do you see that constellation? It's called Ursa Major.
5297,I think I saw a satellite just now.,I think I saw a satellite just now.
5298,"The sky is so clear, can see all the stars.","The sky is so clear, you can see all the stars."
5299,"I brought some snacks, can enjoy while we stargaze.","I brought some snacks, we can enjoy while we stargaze."
5300,You know any other good spots for stargazing?,Do you know any other good spots for stargazing?
5301,"Wah, today catch so many fish!","Wow, we caught so many fish today!"
5302,"Eh, you got bring bait or not?","Hey, did you bring the bait?"
5303,"This spot quite good, got a lot of fish.","This spot is quite good, there are a lot of fish."
5304,"Aiyah, my line kena stuck again.","Oh no, my line got stuck again."
5305,You see that big one? I want to catch that one.,Do you see that big one? I want to catch that one.
5306,Don't forget to bring the cooler box.,Don't forget to bring the cooler box.
5307,The weather today damn shiok for fishing.,The weather today is really nice for fishing.
5308,I think we need to change the bait.,I think we need to change the bait.
5309,Got any luck so far?,Have you had any luck so far?
5310,"Wah lao, the fish so strong!","Oh man, the fish is so strong!"
5311,I forgot to bring my fishing rod.,I forgot to bring my fishing rod.
5312,"This place very ulu, but got a lot of fish.","This place is very remote, but there are a lot of fish."
5313,You want to try using this lure?,Do you want to try using this lure?
5314,I think we should move to another spot.,I think we should move to another spot.
5315,"The fish here very big, must be careful.","The fish here are very big, we must be careful."
5316,I caught a huge one just now!,I caught a huge one just now!
5317,Don't forget to bring sunscreen.,Don't forget to bring sunscreen.
5318,"The water here very clear, can see the fish.","The water here is very clear, you can see the fish."
5319,I think the fish not biting today.,I think the fish are not biting today.
5320,You got any extra hooks?,Do you have any extra hooks?
5321,"This fish very heavy, need help to pull up.","This fish is very heavy, I need help to pull it up."
5322,I think we need to use a different technique.,I think we need to use a different technique.
5323,"The fish here very smart, not easy to catch.","The fish here are very smart, not easy to catch."
5324,"I love fishing, so relaxing.","I love fishing, it's so relaxing."
5325,You want to go fishing again next week?,Do you want to go fishing again next week?
5326,I think we need to cast further out.,I think we need to cast further out.
5327,"The fish here very tasty, you should try.","The fish here are very tasty, you should try."
5328,I need to buy more fishing gear.,I need to buy more fishing gear.
5329,The fish here very active in the morning.,The fish here are very active in the morning.
5330,I think we should try fishing at night.,I think we should try fishing at night.
5331,You got any tips for catching big fish?,Do you have any tips for catching big fish?
5332,"The fish here very fast, must be quick.","The fish here are very fast, you must be quick."
5333,I think we need to use live bait.,I think we need to use live bait.
5334,"The fish here very strong, need strong line.","The fish here are very strong, you need a strong line."
5335,I caught a fish bigger than my hand!,I caught a fish bigger than my hand!
5336,"Don't forget to bring water, very hot today.","Don't forget to bring water, it's very hot today."
5337,"The fish here very shy, must be patient.","The fish here are very shy, you must be patient."
5338,I think we need to use smaller hooks.,I think we need to use smaller hooks.
5339,"The fish here very aggressive, be careful.","The fish here are very aggressive, be careful."
5340,I love the sound of the water while fishing.,I love the sound of the water while fishing.
5341,You want to try fishing at the jetty?,Do you want to try fishing at the jetty?
5342,"The fish here very tricky, must use right bait.","The fish here are very tricky, you must use the right bait."
5343,I think we need to fish deeper.,I think we need to fish deeper.
5344,"The fish here very big, need strong rod.","The fish here are very big, you need a strong rod."
5345,I caught a fish almost as big as my arm!,I caught a fish almost as big as my arm!
5346,"Don't forget to bring snacks, fishing can be long.","Don't forget to bring snacks, fishing can take a long time."
5347,"The fish here very sneaky, must be alert.","The fish here are very sneaky, you must be alert."
5348,I think we need to use heavier weights.,I think we need to use heavier weights.
5349,"The fish here very strong, need to be careful.","The fish here are very strong, you need to be careful."
5350,"I love fishing with friends, very fun.","I love fishing with friends, it's very fun."
5351,You want to try fishing at the river?,Do you want to try fishing at the river?
5352,"The fish here very smart, must use right technique.","The fish here are very smart, you must use the right technique."
5353,I think we need to fish closer to the shore.,I think we need to fish closer to the shore.
5354,"The fish here very big, need strong reel.","The fish here are very big, you need a strong reel."
5355,I caught a fish bigger than my leg!,I caught a fish bigger than my leg!
5356,"Don't forget to bring a hat, very sunny today.","Don't forget to bring a hat, it's very sunny today."
5357,"The fish here very fast, must be quick to reel in.","The fish here are very fast, you must be quick to reel them in."
5358,I think we need to use lighter line.,I think we need to use a lighter line.
5359,"The fish here very strong, need to be patient.","The fish here are very strong, you need to be patient."
5360,"I love fishing early in the morning, very peaceful.","I love fishing early in the morning, it's very peaceful."
5361,You want to try fishing at the lake?,Do you want to try fishing at the lake?
5362,"The fish here very tricky, must use right lure.","The fish here are very tricky, you must use the right lure."
5363,I think we need to fish further out.,I think we need to fish further out.
5364,"The fish here very big, need strong tackle.","The fish here are very big, you need strong tackle."
5365,I caught a fish bigger than my head!,I caught a fish bigger than my head!
5366,"Don't forget to bring a chair, fishing can be tiring.","Don't forget to bring a chair, fishing can be tiring."
5367,"The fish here very sneaky, must be quick.","The fish here are very sneaky, you must be quick."
5368,I think we need to use stronger hooks.,I think we need to use stronger hooks.
5369,"The fish here very strong, need to be careful when reeling in.","The fish here are very strong, you need to be careful when reeling them in."
5370,"I love fishing at sunset, very beautiful.","I love fishing at sunset, it's very beautiful."
5371,You want to try fishing at the pond?,Do you want to try fishing at the pond?
5372,"The fish here very smart, must use right bait.","The fish here are very smart, you must use the right bait."
5373,I think we need to fish in deeper water.,I think we need to fish in deeper water.
5374,"The fish here very big, need strong line.","The fish here are very big, you need a strong line."
5375,I caught a fish bigger than my foot!,I caught a fish bigger than my foot!
5376,"Don't forget to bring a mat, can sit on the ground.","Don't forget to bring a mat, you can sit on the ground."
5377,"The fish here very fast, must be quick to hook.","The fish here are very fast, you must be quick to hook them."
5378,I think we need to use lighter weights.,I think we need to use lighter weights.
5379,"The fish here very strong, need to be patient when reeling in.","The fish here are very strong, you need to be patient when reeling them in."
5380,"I love fishing at night, very quiet.","I love fishing at night, it's very quiet."
5381,You want to try fishing at the beach?,Do you want to try fishing at the beach?
5382,"The fish here very tricky, must use right technique.","The fish here are very tricky, you must use the right technique."
5383,I think we need to fish closer to the rocks.,I think we need to fish closer to the rocks.
5384,"The fish here very big, need strong rod and reel.","The fish here are very big, you need a strong rod and reel."
5385,I caught a fish bigger than my torso!,I caught a fish bigger than my torso!
5386,"Don't forget to bring a towel, can get wet.","Don't forget to bring a towel, you can get wet."
5387,"The fish here very sneaky, must be quick to reel in.","The fish here are very sneaky, you must be quick to reel them in."
5388,I think we need to use stronger line.,I think we need to use a stronger line.
5389,"The fish here very strong, need to be careful when hooking.","The fish here are very strong, you need to be careful when hooking them."
5390,"I love fishing in the rain, very refreshing.","I love fishing in the rain, it's very refreshing."
5391,You want to try fishing at the pier?,Do you want to try fishing at the pier?
5392,"The fish here very smart, must use right lure.","The fish here are very smart, you must use the right lure."
5393,I think we need to fish in shallower water.,I think we need to fish in shallower water.
5394,"The fish here very big, need strong tackle and line.","The fish here are very big, you need strong tackle and line."
5395,I caught a fish bigger than my backpack!,I caught a fish bigger than my backpack!
5396,"Don't forget to bring a jacket, can get cold.","Don't forget to bring a jacket, it can get cold."
5397,"The fish here very fast, must be quick to hook and reel in.","The fish here are very fast, you must be quick to hook and reel them in."
5398,I think we need to use lighter hooks.,I think we need to use lighter hooks.
5399,"The fish here very strong, need to be patient when hooking.","The fish here are very strong, you need to be patient when hooking them."
5400,"I love fishing in the evening, very calm.","I love fishing in the evening, it's very calm."
5401,"Wah, this trail damn shiok leh.","Wow, this trail is really enjoyable."
5402,"Eh, you bring enough water or not?","Hey, did you bring enough water?"
5403,"Aiyo, so many mosquitoes here.","Oh dear, there are so many mosquitoes here."
5404,This view confirm worth the hike.,This view is definitely worth the hike.
5405,"Don't forget to take picture, later regret ah.","Don't forget to take pictures, you might regret it later."
5406,"Wah, the weather today super hot.","Wow, the weather is really hot today."
5407,You got bring insect repellent or not?,Did you bring insect repellent?
5408,"This place very ulu, not many people know one.","This place is very remote, not many people know about it."
5409,"Better wear proper shoes, later slip and fall.","It's better to wear proper shoes, you might slip and fall."
5410,"Wah, the air here so fresh.","Wow, the air here is so fresh."
5411,"Don't walk too fast, later tired very fast.","Don't walk too fast, you might get tired quickly."
5412,"Eh, got leeches here or not?","Hey, are there leeches here?"
5413,"This trail got a lot of steep slopes, be careful ah.","This trail has a lot of steep slopes, be careful."
5414,"Wah, the sunset here very nice.","Wow, the sunset here is very beautiful."
5415,You got bring snacks or not? I hungry already.,Did you bring snacks? I'm already hungry.
5416,"This place very peaceful, can hear the birds chirping.","This place is very peaceful, you can hear the birds chirping."
5417,"Eh, don't litter ah, keep the place clean.","Hey, don't litter, keep the place clean."
5418,"Wah, the climb very tiring but worth it.","Wow, the climb is very tiring but worth it."
5419,You got bring map or not? Later we lost.,Did you bring a map? We might get lost.
5420,"This trail got a lot of shade, not so hot.","This trail has a lot of shade, it's not so hot."
5421,"Eh, you see that bird? So colourful!","Hey, did you see that bird? It's so colourful!"
5422,"Better start early, later too hot to hike.","It's better to start early, it might get too hot to hike later."
5423,"Wah, the waterfall here very nice.","Wow, the waterfall here is very beautiful."
5424,You got bring first aid kit or not?,Did you bring a first aid kit?
5425,"This place got a lot of history, very interesting.","This place has a lot of history, it's very interesting."
5426,"Eh, don't stray from the path, later get lost.","Hey, don't stray from the path, you might get lost."
5427,"Wah, the breeze here very cooling.","Wow, the breeze here is very cooling."
5428,You got bring hat or not? Later sunburn.,Did you bring a hat? You might get sunburned.
5429,"This trail very popular, a lot of people come here.","This trail is very popular, a lot of people come here."
5430,"Eh, you hear that? Sounds like a waterfall nearby.","Hey, did you hear that? It sounds like there's a waterfall nearby."
5431,"Wah, the flowers here very pretty.","Wow, the flowers here are very pretty."
5432,You got bring extra socks or not? Later feet wet.,Did you bring extra socks? Your feet might get wet.
5433,This place very good for bird watching.,This place is very good for bird watching.
5434,"Eh, don't make too much noise, later scare the animals.","Hey, don't make too much noise, you might scare the animals."
5435,"Wah, the sky so clear today.","Wow, the sky is so clear today."
5436,You got bring camera or not? The view very nice.,Did you bring a camera? The view is very nice.
5437,"This trail got a lot of rocks, must be careful.","This trail has a lot of rocks, you must be careful."
